,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL
73,THE NATION; Toxic waste vs. climate change; Will EPA consider the science as it focuses on Superfund sites?,"Yardley, William","Los Angeles Times; Los Angeles, Calif.","Jun 14, 2017","Los Angeles, Calif.",NA,Main News; Part A; National Desk,https://www.proquest.com/newspapers/nation-toxic-waste-vs-climate-change-will-epa/docview/1909090860/se-2?accountid=13360
74,ENVIRONMENTAL WATCH; Gore praises Brown's work in climate change activism; Former vice president lauds cap-and-trade program at a forum in San Francisco.,"Megerian, Chris","Los Angeles Times; Los Angeles, Calif.","Jul 25, 2017","Los Angeles, Calif.",NA,California; Part B; Local Desk,https://www.proquest.com/newspapers/environmental-watch-gore-praises-browns-work/docview/1922787141/se-2?accountid=13360
75,"Harvey's lessons for Trump; Heed the experts, Mr. President, on the link between climate change and the disaster in Texas.",NA,"Los Angeles Times; Los Angeles, Calif.","Aug 30, 2017","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/harveys-lessons-trump-heed-experts-mr-president/docview/1933399967/se-2?accountid=13360
76,"The deadly fires up north; Like the hurricanes before them, the raging blazes should send a dire message about climate change.",NA,"Los Angeles Times; Los Angeles, Calif.","Oct 12, 2017","Los Angeles, Calif.",NA,Main News; Part A; Editorial Desk,https://www.proquest.com/newspapers/deadly-fires-up-north-like-hurricanes-before-them/docview/1949878582/se-2?accountid=13360
77,THE YEAR IN REVIEW; BUILDING TYPE; WHAT'S NOW NORMAL; Floods and wildfires affect more people as climate change worsens and we build in disaster-prone areas,"Hawthorne, Christopher","Los Angeles Times; Los Angeles, Calif.","Dec 17, 2017","Los Angeles, Calif.",NA,Sunday Calendar; Part F; Calendar Desk,https://www.proquest.com/newspapers/year-review-building-type-whats-now-normal-floods/docview/1977621349/se-2?accountid=13360
78,STUDY: SPECIES WILL COMPETE MORE: RESEARCHER ANALYZES CLIMATE CHANGE'S EFFECTS; UNIVERSITY OF CONNECTICUT,"Weir, William","Hartford Courant; Hartford, Conn.","Jan 4, 2012","Hartford, Conn.",B.8,CTNOW,https://www.proquest.com/newspapers/study-species-will-compete-more/docview/914414207/se-2?accountid=13360
79,PURA OKS ENERGY CREDITS: RENEWABLE ENERGY PROGRAM,"PODSADA, JANICE","Hartford Courant; Hartford, Conn.","Apr 5, 2012","Hartford, Conn.",A.9,MAIN (A),https://www.proquest.com/newspapers/pura-oks-energy-credits/docview/969122052/se-2?accountid=13360
80,EAST HARTFORD PURSUING MORE SOLAR ENERGY PROJECTS: RENEWABLE ENERGY,"Traynor, Melissa","Hartford Courant; Hartford, Conn.","Sep 28, 2012","Hartford, Conn.",B.3,CTNOW,https://www.proquest.com/newspapers/east-hartford-pursuing-more-solar-energy-projects/docview/1081674156/se-2?accountid=13360
81,HURRICANE SANDY CLIMATE CHANGE MESSAGE: OP-ED,"Thorson, Robert","Hartford Courant; Hartford, Conn.","Nov 1, 2012","Hartford, Conn.",A.14,OPINION,https://www.proquest.com/newspapers/hurricane-sandy-climate-change-message/docview/1125334395/se-2?accountid=13360
82,"WHAT CAN WE LEARN FROM SANDY?: RESEARCHERS LOOK AT DATA TO SEE IF BIGGER, UNIQUE STORMS COULD HAPPEN MORE FREQUENTLY; CLIMATE CHANGE","Weir, William","Hartford Courant; Hartford, Conn.","Dec 30, 2012","Hartford, Conn.",B.2,CTNOW,https://www.proquest.com/newspapers/what-can-we-learn-sandy/docview/1265821315/se-2?accountid=13360
83,STATE'S PLAN LOOKS TO HYDROPOWER: OFFICIALS WANT TO DECREASE RELIANCE ON BIOMASS; RENEWABLE ENERGY,"Dowling, Brian","Hartford Courant; Hartford, Conn.","Mar 19, 2013","Hartford, Conn.",A.6,MAIN (A),https://www.proquest.com/newspapers/states-plan-looks-hydropower/docview/1318378584/se-2?accountid=13360
84,"CRRA CAPS LANDFILL, PUTS UP SOLAR ARRAY: SITE FIRST IN CT FOR RENEWABLE ENERGY PROJECT; HARTFORD","Dowling, Brian","Hartford Courant; Hartford, Conn.","Jun 8, 2013","Hartford, Conn.",A.5,MAIN (A),https://www.proquest.com/newspapers/crra-caps-landfill-puts-up-solar-array/docview/1366070930/se-2?accountid=13360
85,A POWER PLAY: PLANS EXPAND AS PLANT SEEKS BIDS FOR RENEWABLE ENERGY CONTRACT; MONTVILLE,"Dowling, Brian","Hartford Courant; Hartford, Conn.","Aug 6, 2013","Hartford, Conn.",A.8,MAIN (A),https://www.proquest.com/newspapers/power-play/docview/1417993583/se-2?accountid=13360
86,"RELIGIOUS LEADERS TALK FAITH, CLIMATE CHANGE: SUMMIT FOCUSES ON RELIGION'S ENVIRONMENTAL STEWARDSHIP ROLE; HARTFORD","Weir, William","Hartford Courant; Hartford, Conn.","Nov 8, 2013","Hartford, Conn.",B.3,CONNECTICUT,https://www.proquest.com/newspapers/religious-leaders-talk-faith-climate-change/docview/1449473585/se-2?accountid=13360
87,RENEWABLE ENERGY LAWSUIT: ESTY OVERSTEPS AUTHORITY: UTILITIES,"Haar, Dan","Hartford Courant; Hartford, Conn.","Dec 28, 2013","Hartford, Conn.",A.9,MAIN (A),https://www.proquest.com/newspapers/renewable-energy-lawsuit-esty-oversteps-authority/docview/1473655032/se-2?accountid=13360
88,"CLIMATE CHANGE COMES CALLING, NO DENYING IT / OUR VIEW",NA,"Hartford Courant; Hartford, Conn.","May 18, 2014","Hartford, Conn.",C.2,OPINION,https://www.proquest.com/newspapers/climate-change-comes-calling-no-denying-our-view/docview/1526956843/se-2?accountid=13360
89,HYDROPOWER PROJECT RECEIVES PRAISE: POLITICIANS ANNOUNCE PASSAGE OF COLLINSVILLE RENEWABLE ENERGY PROMOTION ACT,"Byron, Ken","Hartford Courant; Hartford, Conn.","Jul 10, 2014","Hartford, Conn.",V.12,FARMINGTON VALLEY EXTRA,https://www.proquest.com/newspapers/hydropower-project-receives-praise/docview/1544427615/se-2?accountid=13360
90,GROWING PAINS: CLIMATE CHANGE PRESENTS RISKS AND OPPORTUNITIES FOR VINTNERS; CONNECTICUT WINE,"Hladky, Gregory B","Hartford Courant; Hartford, Conn.","Nov 10, 2014","Hartford, Conn.",A.1,MAIN (A),https://www.proquest.com/newspapers/growing-pains/docview/1622346858/se-2?accountid=13360
91,BIOMASS PLANT SOLD AGAIN: GREENLEAF POWER TAKING OVER WOOD-FIRED OPERATION FROM LEIDOS INC.; PLAINFIELD RENEWABLE ENERGY,"Dowling, Brian","Hartford Courant; Hartford, Conn.","Mar 26, 2015","Hartford, Conn.",A.12,MAIN (A),https://www.proquest.com/newspapers/biomass-plant-sold-again/docview/1666792294/se-2?accountid=13360
92,MALLOY 'RECOMMITS' TO 2050 GOALS: CLIMATE CHANGE,"Dowling, Brian","Hartford Courant; Hartford, Conn.","Apr 23, 2015","Hartford, Conn.",A.7,MAIN (A),https://www.proquest.com/newspapers/malloy-recommits-2050-goals/docview/1675002576/se-2?accountid=13360
93,MALLOY URGES NEW COUNCIL TO LEAD: CLIMATE CHANGE,"Hladky, Gregory B","Hartford Courant; Hartford, Conn.","Jul 11, 2015","Hartford, Conn.",B.1,CONNECTICUT,https://www.proquest.com/newspapers/malloy-urges-new-council-lead/docview/1695797485/se-2?accountid=13360
94,GREENSKIES SEALS $165M IN FINANCING: RENEWABLE ENERGY,"Lee, Mara","Hartford Courant; Hartford, Conn.","Aug 20, 2015","Hartford, Conn.",A.12,MAIN (A),https://www.proquest.com/newspapers/greenskies-seals-165m-financing/docview/1705533884/se-2?accountid=13360
95,CHRIS SCHWEITZER: LOOKING AT ART AS A WAY TO HIGHLIGHT CLIMATE CHANGE,"TUHUS, MELINDA","Hartford Courant; Hartford, Conn.","Nov 22, 2015","Hartford, Conn.",38,NEW HAVEN LIVING MAGAZINE,https://www.proquest.com/newspapers/chris-schweitzer/docview/1753903750/se-2?accountid=13360
96,OPTIMISTIC MCCARTHY BACK IN STATE: FORMER CONNECTICUT COMMISSIONER HAS HIGH PRAISE FOR CLIMATE CHANGE ACCORD SIGNED IN PARIS; EPA ADMINISTRATOR,"Keating, Christopher","Hartford Courant; Hartford, Conn.","Dec 19, 2015","Hartford, Conn.",B.1,CONNECTICUT,https://www.proquest.com/newspapers/optimistic-mccarthy-back-state/docview/1750225329/se-2?accountid=13360
97,FUNDS LACKING TO PRESERVE OPEN SPACE: INCREASING EFFECTS OF CLIMATE CHANGE VIA GLOBAL WARMING ALSO CITED BY WATCHDOG AGENCY; REPORT: STATE'S ENVIRONMENTAL CONCERNS,"Hladky, Gregory B","Hartford Courant; Hartford, Conn.","Apr 16, 2016","Hartford, Conn.",B.1,CONNECTICUT,https://www.proquest.com/newspapers/funds-lacking-preserve-open-space/docview/1781350358/se-2?accountid=13360
98,"Climate Change: Warming Reshaping Face Of State: Growing Seasons Lengthen, Rising Ocean Levels Seen As Harbinger Of Stronger Storms","Hladky, Gregory B","Hartford Courant; Hartford, Conn.","Aug 22, 2016","Hartford, Conn.",A.1,NA,https://www.proquest.com/newspapers/climate-change-warming-reshaping-face-state/docview/1812836341/se-2?accountid=13360
99,"Republican deal averts vote: on impeaching director of IRS: NEWS BRIEFING: Tribune Newspapers & news services: Obama: Atlantic marine reserve helps in fighting climate change: Deal with opponents of Arizona immigration law ends lawsuit: Police: Man with meat cleaver attacks NYC officer, is shot: Found wing flap confirmed as part of MH370: Senate OKs bill that includes emergency funds for Flint",NA,"Hartford Courant; Hartford, Conn.","Sep 16, 2016","Hartford, Conn.",A.10,NA,https://www.proquest.com/newspapers/republican-deal-averts-vote-on-impeaching/docview/1819656057/se-2?accountid=13360
100,33rd Senate District: Green Party Candidate: Real Issues Ignored: Colin Bennett Focuses On Climate Change,"Hladky, Gregory B","Hartford Courant; Hartford, Conn.","Nov 5, 2016","Hartford, Conn.",B.3,NA,https://www.proquest.com/newspapers/33rd-senate-district-green-party-candidate-real/docview/1836140334/se-2?accountid=13360
101,HARTFORD: Rally For Clean Energy: Group Focuses: On Climate Change,"Stoller, Kristin","Hartford Courant; Hartford, Conn.","Dec 4, 2016","Hartford, Conn.",B.5,NA,https://www.proquest.com/newspapers/hartford-rally-clean-energy-group-focuses-on/docview/1845498856/se-2?accountid=13360
102,climate change: 2016: Hottest Year Ever: Three-Year Warming Trend 'A Wake-Up Call',"Mooney, Chris","Hartford Courant; Hartford, Conn.","Jan 19, 2017","Hartford, Conn.",A.1,NA,https://www.proquest.com/newspapers/climate-change-2016-hottest-year-ever-three/docview/1859751331/se-2?accountid=13360
103,letters: Immigration Misconceptions: Loving The South End: Trump's Bad Swamp: Climate Change Created Refugees: White House Website Changes,NA,"Hartford Courant; Hartford, Conn.","Feb 4, 2017","Hartford, Conn.",A.9,NA,https://www.proquest.com/newspapers/letters-immigration-misconceptions-loving-south/docview/1864909331/se-2?accountid=13360
104,"climate change?: A Salad Shortage Tied To Weather: Warmth, Rains Impact Lettuce","Dewey, Caitlin","Hartford Courant; Hartford, Conn.","Mar 4, 2017","Hartford, Conn.",A.5,NA,https://www.proquest.com/newspapers/climate-change-salad-shortage-tied-weather-warmth/docview/1873988359/se-2?accountid=13360
105,"climate change: Apple, Wal-Mart Stick With Pledge","Flavelle, Christopher","Hartford Courant; Hartford, Conn.","Mar 31, 2017","Hartford, Conn.",A.7,NA,https://www.proquest.com/newspapers/climate-change-apple-wal-mart-stick-with-pledge/docview/1883614747/se-2?accountid=13360
106,Maduro starts work on rewrite of constitution amid violence; NEWS BRIEFING; Staff and news services; 4th man accuses Seattle mayor of paying for sex decades ago; Environmental groups sue EPA over rollback of pollution rules; Renewable energy critic chosen to head wind and solar projects; 3 Americans injured in attack on Kabul convoy; N. Korea holds U.S. instructor over alleged hostile acts,NA,"Hartford Courant; Hartford, Conn.","May 4, 2017","Hartford, Conn.",A.4,NA,https://www.proquest.com/newspapers/maduro-starts-work-on-rewrite-constitution-amid/docview/1898707130/se-2?accountid=13360
107,"Kehler Liddell Gallery; One Planet, One Home; Climate Change Topic Of New Haven Exhibit Opening Friday","Dunne, Susan","Hartford Courant; Hartford, Conn.","May 10, 2017","Hartford, Conn.",D.1,NA,https://www.proquest.com/newspapers/kehler-liddell-gallery-one-planet-home-climate/docview/1899051879/se-2?accountid=13360
108,Climate change; Malloy: State Will Redouble Its Efforts; Pledges Pursuit; Of Clean Energy,"Blair, Russell","Hartford Courant; Hartford, Conn.","Jun 2, 2017","Hartford, Conn.",A.4,NA,https://www.proquest.com/newspapers/climate-change-malloy-state-will-redouble-efforts/docview/1904716060/se-2?accountid=13360
109,"Egypt attacks: 2 German tourists, 5 policemen killed; NEWS BRIEFING; Tribune Newspapers and news services; Cleared in killing of unarmed black man, Tulsa cop resigns; Pentagon: Afghanistan leader ; of ISIS killed in drone strike; Court: N.C. officials' prayer practice violated Constitution; Defense bill calls climate change a security threat; White House: Budget deficit will spike to $702 billion",NA,"Hartford Courant; Hartford, Conn.","Jul 15, 2017","Hartford, Conn.",A.5,NA,https://www.proquest.com/newspapers/egypt-attacks-2-german-tourists-5-policemen/docview/1919072219/se-2?accountid=13360
110,Op-ed; Trump Policies Made Me A Whistleblower; Interior Department Official Says He Was Transferred To Silence Warnings On Climate Change,"Clement, Joel","Hartford Courant; Hartford, Conn.","Jul 23, 2017","Hartford, Conn.",C.3,NA,https://www.proquest.com/newspapers/op-ed-trump-policies-made-me-whistleblower/docview/1922264004/se-2?accountid=13360
111,Climate change may spur suicides; Study: Indian farmers' deaths rise with bad weather,"Doshi, Vidhi","Hartford Courant; Hartford, Conn.","Aug 3, 2017","Hartford, Conn.",A.10,NA,https://www.proquest.com/newspapers/climate-change-may-spur-suicides-study-indian/docview/1925370079/se-2?accountid=13360
112,"Letters; Millstone Mum ; On Finances; Learning From History; Houston, Could It Be Climate Change?; Pay It Forward Tax Plan",NA,"Hartford Courant; Hartford, Conn.","Sep 9, 2017","Hartford, Conn.",A.7,NA,https://www.proquest.com/newspapers/letters-millstone-mum-on-finances-learning/docview/1936761135/se-2?accountid=13360
113,Renewable Energy; Solar Plan Stirs Debate In Simsbury,JORDAN OTERO SISSON,"Hartford Courant; Hartford, Conn.","Sep 15, 2017","Hartford, Conn.",A.1,NA,https://www.proquest.com/newspapers/renewable-energy-solar-plan-stirs-debate-simsbury/docview/1938781009/se-2?accountid=13360
114,"Jacques Pépin, Hispanic Poets, Climate Change",NA,"Hartford Courant; Hartford, Conn.","Sep 24, 2017","Hartford, Conn.",G.5,NA,https://www.proquest.com/newspapers/jacques-pépin-hispanic-poets-climate-change/docview/1941895359/se-2?accountid=13360
115,Travel tips; How Climate Change Affects Travel - And What To Do,"Elliott, Christopher","Hartford Courant; Hartford, Conn.","Oct 22, 2017","Hartford, Conn.",F.5,NA,https://www.proquest.com/newspapers/travel-tips-how-climate-change-affects-what-do/docview/1953571440/se-2?accountid=13360
116,"Zimbabwe's president cites witchcraft in ousting deputy; NEWS BRIEFING; Tribune Newspapers and news services; Homeland nominee questions human role in climate change ; NATO boosts military abilities as Russia again looms as threat; Egyptian president warns Iran to stop 'meddling' in the region ; New Venezuelan law clamps down on dissent, hate ; Puerto Rico reports a rise in daily deaths after Maria",NA,"Hartford Courant; Hartford, Conn.","Nov 9, 2017","Hartford, Conn.",A.3,NA,https://www.proquest.com/newspapers/zimbabwes-president-cites-witchcraft-ousting/docview/1961737845/se-2?accountid=13360
117,Moody's Puts Price On Climate Change; OP-ED,"Thorson, Robert","Hartford Courant; Hartford, Conn.","Dec 7, 2017","Hartford, Conn.",A.13,NA,https://www.proquest.com/newspapers/moodys-puts-price-on-climate-change-op-ed/docview/1973332539/se-2?accountid=13360
118,Truth of climate change cannot be denied,NA,"The News Journal; Wilmington, Del.","Jan 4, 2012","Wilmington, Del.",NA,OPINION,https://www.proquest.com/newspapers/truth-climate-change-cannot-be-denied/docview/913475384/se-2?accountid=13360
119,Blind pursuit of renewable energy leads to higher prices,"Peterman, Jack","The News Journal; Wilmington, Del.","Apr 14, 2012","Wilmington, Del.",NA,OPINION,https://www.proquest.com/newspapers/blind-pursuit-renewable-energy-leads-higher/docview/1000277992/se-2?accountid=13360
120,Climate change data called politial propaganda,NA,"The News Journal; Wilmington, Del.","Aug 13, 2012","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/climate-change-data-called-politial-propaganda/docview/1033183296/se-2?accountid=13360
121,Skeptical of Hansen's view on climate change,NA,"The News Journal; Wilmington, Del.","Aug 16, 2012","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/skeptical-hansens-view-on-climate-change/docview/1033732139/se-2?accountid=13360
122,Climate change puts coast in crosshairs,"Montgomery, Jeff; Murray, Molly","The News Journal; Wilmington, Del.","Aug 19, 2012","Wilmington, Del.",NA,Environment,https://www.proquest.com/newspapers/climate-change-puts-coast-crosshairs/docview/1034206876/se-2?accountid=13360
123,Fear scientists more than climate change,NA,"The News Journal; Wilmington, Del.","Aug 21, 2012","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/fear-scientists-more-than-climate-change/docview/1034543842/se-2?accountid=13360
124,Distortions fuel the advocacy of climate change,"Legates, David R","The News Journal; Wilmington, Del.","Aug 25, 2012","Wilmington, Del.",NA,Delaware Voice,https://www.proquest.com/newspapers/distortions-fuel-advocacy-climate-change/docview/1034950884/se-2?accountid=13360
125,Warming cycles account for climate change,NA,"The News Journal; Wilmington, Del.","Sep 1, 2012","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/warming-cycles-account-climate-change/docview/1037517781/se-2?accountid=13360
126,State braces itself for climate change's rising waters,"Goggin, Brenna","The News Journal; Wilmington, Del.","Sep 27, 2012","Wilmington, Del.",NA,Delaware Voice,https://www.proquest.com/newspapers/state-braces-itself-climate-changes-rising-waters/docview/1080766703/se-2?accountid=13360
127,Wilmington constructing renewable energy site,NA,"The News Journal; Wilmington, Del.","Dec 14, 2012","Wilmington, Del.",NA,Government & Politics,https://www.proquest.com/newspapers/wilmington-constructing-renewable-energy-site/docview/1238141783/se-2?accountid=13360
128,Nation already feeling backlash of unchecked climate change,"Montgomery, Jeff; Murray, Molly","The News Journal; Wilmington, Del.","Jan 12, 2013","Wilmington, Del.",NA,Local,https://www.proquest.com/newspapers/nation-already-feeling-backlash-unchecked-climate/docview/1268820575/se-2?accountid=13360
129,State turns to climate analyst,"Montgomery, Jeff; Murray, Molly","The News Journal; Wilmington, Del.","Jan 12, 2013","Wilmington, Del.",NA,Environment,https://www.proquest.com/newspapers/state-turns-climate-analyst/docview/1268820740/se-2?accountid=13360
130,Fair Hill's renewable energy series; Jeff Dunham at Delaware State Fair: Fair Hill lectures kick off with renewable energy,NA,"The News Journal; Wilmington, Del.","Feb 16, 2013","Wilmington, Del.",NA,Life,https://www.proquest.com/newspapers/fair-hills-renewable-energy-series-jeff-dunham-at/docview/1288798839/se-2?accountid=13360
131,Energy efficiency urged,"Montgomery, Jeff","The News Journal; Wilmington, Del.","Feb 23, 2013","Wilmington, Del.",NA,Local,https://www.proquest.com/newspapers/energy-efficiency-urged/docview/1314534683/se-2?accountid=13360
132,Innovation is the answer to climate-change problems,NA,"The News Journal; Wilmington, Del.","Jun 30, 2013","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/innovation-is-answer-climate-change-problems/docview/1372468442/se-2?accountid=13360
133,Dangerous to ignore the facts of climate change,NA,"The News Journal; Wilmington, Del.","Jul 7, 2013","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/dangerous-ignore-facts-climate-change/docview/1398316747/se-2?accountid=13360
134,Go out on a limb and prevent climate change,NA,"The News Journal; Wilmington, Del.","Aug 20, 2013","Wilmington, Del.",NA,OPINION,https://www.proquest.com/newspapers/go-out-on-limb-prevent-climate-change/docview/1426253232/se-2?accountid=13360
135,Question the wisdom of renewable energy subsidies,NA,"The News Journal; Wilmington, Del.","Aug 22, 2013","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/question-wisdom-renewable-energy-subsidies/docview/1427263727/se-2?accountid=13360
136,Climate change views difficult to sway,"Murray, Molly","The News Journal; Wilmington, Del.","Dec 23, 2013","Wilmington, Del.",NA,Local,https://www.proquest.com/newspapers/climate-change-views-difficult-sway/docview/1470410383/se-2?accountid=13360
137,How smoking tobacco is like burning fossil fuels,NA,"The News Journal; Wilmington, Del.","Jan 17, 2014","Wilmington, Del.",12,A,https://www.proquest.com/newspapers/how-smoking-tobacco-is-like-burning-fossil-fuels/docview/1477961178/se-2?accountid=13360
138,Climate change's effects are too critical to ignore,"Kaufman, Ted","The News Journal; Wilmington, Del.","Jan 19, 2014","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/climate-changes-effects-are-too-critical-ignore/docview/1487908075/se-2?accountid=13360
139,Delaware wants action on climate change and jobs,"Starkey, Jonathan; Montgomery, Jeff","The News Journal; Wilmington, Del.","Jan 29, 2014","Wilmington, Del.",1,A,https://www.proquest.com/newspapers/delaware-wants-action-on-climate-change-jobs/docview/1492251016/se-2?accountid=13360
140,Politicians just want to tax and regulate,NA,"The News Journal; Wilmington, Del.","Jan 29, 2014","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/politicians-just-want-tax-regulate/docview/1492251132/se-2?accountid=13360
141,Climate change reality is a certifiable given,NA,"The News Journal; Wilmington, Del.","Feb 8, 2014","Wilmington, Del.",NA,Letters To The Editor,https://www.proquest.com/newspapers/climate-change-reality-is-certifiable-given/docview/1496065756/se-2?accountid=13360
142,Kerry lashes out at climate change deniers,"Lee, Matthew","The News Journal; Wilmington, Del.","Feb 17, 2014","Wilmington, Del.",1,A,https://www.proquest.com/newspapers/kerry-lashes-out-at-climate-change-deniers/docview/1498434006/se-2?accountid=13360
143,Some countries foolishly holding back truth on climate change,NA,"The News Journal; Wilmington, Del.","Apr 19, 2014","Wilmington, Del.",7,A,https://www.proquest.com/newspapers/some-countries-foolishly-holding-back-truth-on/docview/1517606498/se-2?accountid=13360
144,climate change past reversing,"Rice, Doyle","The News Journal; Wilmington, Del.","Nov 3, 2014","Wilmington, Del.",2,B,https://www.proquest.com/newspapers/climate-change-past-reversing/docview/1799007007/se-2?accountid=13360
145,ExxonMobil investigated for climate change statements,"McCoy, Kevin","The News Journal; Wilmington, Del.","Nov 6, 2015","Wilmington, Del.",4,B,https://www.proquest.com/newspapers/exxonmobil-investigated-climate-change-statements/docview/1730677650/se-2?accountid=13360
146,Report credits Delaware climate change prep,"Murray, Molly","The News Journal; Wilmington, Del.","Nov 19, 2015","Wilmington, Del.",A.3,News,https://www.proquest.com/newspapers/report-credits-delaware-climate-change-prep/docview/1802213609/se-2?accountid=13360
147,Website to focus on Arctic climate change,NA,"The News Journal; Wilmington, Del.","Nov 27, 2015","Wilmington, Del.",B.5,Business,https://www.proquest.com/newspapers/website-focus-on-arctic-climate-change/docview/1764899047/se-2?accountid=13360
148,5 things to know about the Paris Climate talks,Kim Hjelmgaard,"The News Journal; Wilmington, Del.","Nov 28, 2015","Wilmington, Del.",B.2,News,https://www.proquest.com/newspapers/5-things-know-about-paris-climate-talks/docview/1764888712/se-2?accountid=13360
149,Obama says climate change is a threat military can't fix,"Jackson, David","The News Journal; Wilmington, Del.","Dec 5, 2015","Wilmington, Del.",B.1,News,https://www.proquest.com/newspapers/obama-says-climate-change-is-threat-military-cant/docview/1764883120/se-2?accountid=13360
150,"Progress in Delaware, but more to do on climate change",NA,"The News Journal; Wilmington, Del.","Dec 11, 2015","Wilmington, Del.",A.17,Opinion,https://www.proquest.com/newspapers/progress-delaware-more-do-on-climate-change/docview/1802214048/se-2?accountid=13360
